id,fish_id,tank_id,valid_from,valid_to,fish_id_uuid,tank_id_uuid,created_by
5,1,5,2025-09-12 16:53:44.172841+00,2025-09-12 16:58:37.24557+00,4ee2e7c4-9466-46e9-af81-5e8646c415ed,b2feb31c-79eb-44d8-9558-df12ae786c5b,
6,2,5,2025-09-12 16:53:44.296425+00,,23db5971-6624-4a2a-ad02-e96d98d3fb3a,b2feb31c-79eb-44d8-9558-df12ae786c5b,
7,1,6,2025-09-12 16:58:37.24557+00,,4ee2e7c4-9466-46e9-af81-5e8646c415ed,5863ecc3-2a29-4940-b111-6e1bf55315fd,
4,2,6,2025-09-12 16:53:44.036147+00,2025-09-12 16:53:44.296425+00,23db5971-6624-4a2a-ad02-e96d98d3fb3a,5863ecc3-2a29-4940-b111-6e1bf55315fd,
9,,,2025-09-13 22:48:33.093783+00,,67872087-4cf3-4bdd-b49d-94ae3700d929,b2feb31c-79eb-44d8-9558-df12ae786c5b,d51b73e3-2c57-427c-9f9b-9c4c067f921f
10,63,28,2025-09-14 06:22:27.127057+00,2025-09-14 06:32:24.605568+00,6271ab4c-171f-4d13-a162-7eb490287279,c0b2cb6b-53cc-43b2-8af5-4dc20dcc8bf4,
13,63,31,2025-09-14 06:32:25.732665+00,,6271ab4c-171f-4d13-a162-7eb490287279,3191cede-2816-40b1-869b-8868684fab8b,
